Valid Dart Thrown,Dart Strike
1, 0
2, 2
3, 7
4, 8
5, -4
6, 3
7, 3
8, 8
9, 2
10, 3
11, -6
12, -2
13, 0
14, 0
15, 9
16, -7
17, -2
18, 2
19, 4
20, 8
21, -5
22, 3
23, 6
24, 9
25, 10
26, -7
27, -5
28, 4
29, 3
30, 4
31, -6
32, -1
33, 1
34, 4
35, 6
36, -2
37, 3
38, 5
39, 6
40, 11
41, -11
42, -3
43, 0
44, 3
45, 6
46, 2
47, 3
48, 1
49, 1
50, 10
51, -10
52, -5
53, 1
54, 3
55, 7
56, -4
57, -4
58, -1
59, 5
60, 7
61, -1
62, 0
63, 4
64, 5
65, 9
66, -2
67, -1
68, 3
69, 2
70, 3
71, -1
72, 1
73, 1
74, 5
75, 8
76, -1
77, 0
78, 0
79, 3
80, 3
81, -4
82, 0
83, 0
84, 3
85, 10
86, -8
87, -2
88, -1
89, 3
90, 10
91, -6
92, -1
93, 0
94, 11
95, 13
96, -8
97, -6
98, -2
99, 3
100, 5
101, -2
102, 6
103, 5
104, 6
105, 6
106, -3
107, -5
108, -4
109, -1
110, 7
111, -6
112, -5
113, -1
114, 7
115, 10
116, -3
117, 0
118, 0
119, 5
120, 8
121, -6
122, -5
123, 0
124, 0
125, 8
126, -6
127, 4
128, 8
129, 10
130, 11
131, -9
132, -6
133, -3
134, -2
135, 4
136, -3
137, -4
138, -3
139, 2
140, 12
141, -5
142, -1
143, 0
144, 5
145, 8
146, -2
147, -1
148, -1
149, 6
150, 7
