Delta V,Current,Noise Top,Noise Bottom
2.72,262.8,1.12,0.96
2.32,261.4,1.12,1.04
2.24,261.4,1.12,1.04
2.48,261.4,0.96,1.12
2.32,261.9,1.12,1.04
2.32,262.1,1.20,1.04
2.48,261.9,1.12,1.04
2.24,262.0,1.12,1.12
2.24,261.8,1.04,0.96
2.32,261.9,1.12,1.20
2.48,262.1,1.04,1.20
2.40,261.5,1.12,1.12
2.40,261.3,1.04,1.04
2.24,260.9,1.04,1.04
2.40,260.3,0.96,1.04
2.32,260.2,1.04,1.04
2.32,260.1,0.96,1.12
2.40,258.2,1.04,0.96
2.24,257.0,1.04,1.04
2.32,257.5,1.04,1.12
2.40,256.9,1.04,1.04
2.40,257.6,1.04,1.12
2.40,257.9,1.04,1.04
2.32,256.0,1.04,1.12
2.32,258.3,1.04,1.04
