Drop #,Charge,Error
1,1.44e-22,2.01e-22
2,4.71e-18,7.05e-18
3,1.99e-21,2.89e-21
4,2.20e-21,3.24e-21
5,1.04e-21,1.55e-21
6,3.81e-21,5.53e-21
7,7.51e-21,1.11e-20
8,5.14e-22,7.56e-22
9,4.48e-22,6.58e-22
10,1.15e-22,1.60e-22
11,3.38e-23,4.90e-23
12,7.09e-23,1.04e-22
13,1.10e-23,1.59e-23
14,6.87e-23,1.01e-22
15,5.55e-24,8.00e-24
16,1.01e-20,1.50e-20
17,1.45e-21,2.15e-21
18,3.18e-21,4.74e-21
19,8.53e-21,1.27e-20
20,9.12e-23,1.29e-22
21,1.92e-21,2.83e-21
22,9.96e-21,1.49e-20
23,4.81e-21,7.17e-21
24,6.48e-21,9.66e-21
25,4.52e-21,6.68e-21
