Drop #,Fall Time,Fall Std,Rise Time,Rise Std,Day
1,3.09,0.24,2.02,0.08,1.0
2,3.79,0.02,4.6,0.01,1.0
3,2.79,0.12,2.54,0.15,1.0
4,2.21,0.12,3.93,0.09,1.0
5,4.01,0.14,14.44,0.62,1.0
6,2.48,0.1,1.93,0.06,1.0
7,3.56,0.09,3.57,0.05,1.0
8,2.04,0.17,5.85,0.12,1.0
9,4.7,0.18,5.71,0.06,1.0
10,2.67,0.25,2.13,0.0,1.0
11,6.62,0.34,6.58,0.15,1.0
12,13.07,0.28,8.29,0.26,1.0
13,6.53,0.45,7.7,0.1,1.0
14,7.23,0.28,8.07,0.27,1.0
15,12.26,0.54,8.61,0.16,1.0
16,3.51,0.08,15.7,0.64,2.0
17,3.31,0.13,8.83,0.56,2.0
18,2.83,0.11,9.63,0.51,2.0
19,4.06,0.08,11.66,0.43,2.0
20,5.9,0.27,2.92,0.25,2.0
21,4.86,0.12,4.63,0.12,2.0
22,4.15,0.08,18.2,0.69,2.0
23,2.86,0.1,11.72,0.32,2.0
24,3.76,0.09,9.33,0.17,2.0
25,3.77,0.1,4.39,0.34,2.0
