Drop #,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,3.47,3.65,3.49,3.33,3.52,3.48,3.56,3.50,3.53,3.59
2,3.35,3.46,3.34,3.41,3.40,3.11,3.28,3.30,3.43,3.04
3,2.77,2.75,2.81,2.76,2.79,2.68,2.81,2.96,2.95,3.04
4,4.04,3.90,4.10,4.11,4.19,3.99,4.08,3.97,4.10,4.15
5,5.83,6.09,5.87,5.90,6.11,6.16,6.19,5.22,5.84,5.82
6,5.11,4.77,4.81,4.93,4.95,4.91,4.87,4.64,4.75,4.88
7,4.05,4.26,4.06,4.08,4.10,4.11,4.29,4.22,4.14,4.18
8,3.01,2.79,2.80,2.80,2.88,2.89,2.80,3.07,2.76,2.85
9,3.59,3.67,3.78,3.83,3.78,3.91,3.80,3.75,3.82,3.66
10,3.60,3.77,3.67,3.87,3.76,3.79,3.79,3.69,3.80,3.97

