Drop #,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,16.83,15.98,15.53,15.07,15.29,15.79,15.87,16.32,15.93,14.42
2,9.34,9.73,9.27,9.18,8.53,8.54,8.67,8.56,8.86,7.63
3,9.56,9.35,9.28,9.03,9.18,9.25,9.89,10.10,9.91,10.80
4,11.75,11.60,11.60,11.14,11.80,12.07,12.20,12.2,10.82,11.37
5,2.81,2.91,2.66,2.72,2.71,2.74,2.76,3.26,3.28,3.31
6,4.74,4.54,4.81,4.62,4.80,4.62,4.54,4.43,4.70,4.52
7,18.63,18.67,17.80,19.13,17.31,17.82,18.07,19.26,18.24,17.10
8,12.43,11.21,11.46,11.87,11.66,11.84,11.80,11.91,11.53,11.46
9,9.41,9.35,9.39,9.52,9.29,9.44,9.05,9.05,9.22,9.55
10,4.46,4.62,4.66,4.77,4.31,4.77,4.42,4.29,3.76,3.80
